cores,time_seconds
36,308.343821
14,314.261056
44,337.533314
10,346.915639
6,365.004053
8,396.938710
52,412.562138
12,413.245005
56,414.769390
28,421.072252
60,432.134670
32,441.450320
64,444.398330
4,454.157546
48,458.006711
16,480.974845
20,484.061670
40,485.420437
24,497.101725
2,499.900295
36,309.146687
14,312.974687
44,330.106191
10,349.180106
6,367.154151
1,741.110571
8,396.487120
52,417.041806
56,424.920591
28,424.582401
12,431.552072
60,425.327200
64,427.690837
32,460.253292
4,454.885239
48,451.609037
36,308.400435
14,307.324211
16,460.730076
40,494.278250
24,484.729831
20,498.993817
44,333.332089
2,504.421582
10,350.207297
6,363.873146
8,397.052122
36,309.400101
14,312.197479
52,419.119402
12,402.103224
28,420.598387
56,426.401063
60,424.238945
64,451.110513
44,324.138044
48,443.896846
32,453.349671
4,450.167560
10,351.526123
16,459.937273
24,478.295930
6,369.011316
20,489.692868
40,496.200809
1,747.761997
2,497.352552
36,310.174639
14,316.367828
8,394.637247
44,331.276095
12,425.150167
52,429.947611
28,421.504426
56,420.736088
60,434.870636
10,351.924880
64,437.932347
4,451.239440
32,462.887629
48,466.499958
6,366.890305
16,449.894043
36,308.687709
14,309.372355
24,468.696560
20,483.922885
40,506.005714
8,398.548157
44,338.304292
2,497.375623
12,413.073244
52,420.206466
10,351.324567
56,421.112638
28,423.310399
60,424.248652
36,311.719887
14,308.600870
64,430.962846
6,368.360243
1,738.348628
4,459.835993
32,468.722266
48,475.055756
16,465.526746
44,338.077237
8,402.205435
24,467.229250
20,486.743666
10,350.016268
12,378.633255
36,318.519905
14,306.394197
2,495.991537
40,514.543159
52,422.174652
56,417.281148
28,426.112628
60,426.476704
6,368.008853
64,436.987428
44,350.946506
4,453.464422
32,448.106446
48,469.199594
8,400.287959
16,472.854392
10,346.116427
12,376.997185
24,490.580826
6,361.995245
20,492.205941
28,407.079878
52,424.822269
56,421.067602
1,739.397663
60,423.987834
2,498.829114
40,508.672588
64,439.442465
4,452.089190
32,456.229304
8,414.537303
48,467.854981
12,390.104997
16,468.481534
56,416.228414
28,421.545630
52,420.687324
24,480.877950
60,432.544980
20,493.991943
2,500.366484
64,434.462428
40,517.760050
4,450.769733
32,461.107518
48,448.611109
1,734.917076
16,479.489189
24,485.336099
20,490.834824
2,496.361402
40,505.888790
1,720.659953
1,721.207205
1,719.019522
