cores,time_seconds
4,327.657622
14,325.322051
24,334.509936
12,357.424962
2,466.106439
40,342.582775
28,466.558758
20,482.056101
36,496.578807
16,501.287938
32,518.159104
10,519.804457
6,550.718775
8,570.572786
4,327.715690
14,328.817427
24,333.066157
12,360.176297
1,748.235171
40,342.141340
44,508.570318
2,466.788144
28,497.801683
36,468.378595
20,489.449361
4,328.013510
14,329.199315
16,503.486456
24,334.142215
32,497.451083
10,522.000536
12,361.089185
6,551.884998
8,564.136409
40,333.548397
44,475.526534
4,327.630258
14,327.235789
24,335.634186
2,466.146051
36,463.170816
12,358.020124
28,474.223644
20,498.999266
40,348.520347
1,749.871289
16,503.242487
32,534.685070
10,524.684734
4,327.361371
14,342.499312
6,551.978607
24,334.946290
8,565.555988
44,473.699378
12,371.902264
40,331.048168
2,465.919624
28,462.941382
36,474.929667
20,474.221174
4,327.884238
14,329.530271
24,334.293296
16,509.162046
32,541.661382
10,522.108906
48,457.532269
40,333.451347
12,359.210037
6,557.450324
1,739.409467
44,501.138904
8,575.310693
4,328.453393
14,330.239114
2,466.845269
24,335.973259
36,472.899644
28,486.425957
20,494.411819
40,337.938395
16,502.188817
12,363.904211
32,518.245368
4,323.908695
48,468.761080
10,536.108521
14,327.452162
24,337.175345
52,419.763354
44,472.777342
6,559.436146
2,454.808981
40,348.318855
36,475.856840
8,584.901796
28,485.164346
56,444.702756
12,360.069297
60,442.953891
20,521.831415
1,742.728641
16,507.035061
64,401.840239
48,474.404506
32,499.668774
52,423.585924
10,537.106852
44,475.807522
2,451.054203
60,420.723072
6,552.484921
36,477.742342
56,455.074019
28,466.511036
8,566.591233
20,490.116849
64,414.904600
16,510.219699
52,420.948409
48,481.905306
32,541.802681
2,442.359929
10,524.586638
44,476.543463
1,746.352898
56,420.634909
60,428.069752
36,493.034687
28,514.467330
6,543.558894
64,430.934883
20,485.594510
52,415.733597
8,573.539548
16,491.414017
48,478.708117
44,490.516038
32,533.254580
56,436.495231
60,438.643802
10,522.163996
52,430.341205
6,541.949358
1,723.610527
64,552.168555
48,485.780062
8,596.633009
56,436.660379
60,434.690033
52,432.006477
64,477.511350
48,464.186085
56,418.897467
60,439.401174
1,718.222815
52,422.151405
64,487.834075
48,462.358537
56,437.028333
60,421.213370
52,411.044784
1,716.573170
56,418.950394
60,428.008783
64,575.108496
64,491.381573
