cores,time_seconds
16,375.884906
2,418.340765
4,458.753242
64,479.979806
32,492.873523
8,495.643103
1,604.692842
16,363.123806
2,419.324239
4,450.499556
32,471.379494
64,488.345969
8,503.888896
16,377.334977
1,604.168850
2,421.110023
4,447.254820
32,467.840677
64,491.853613
16,369.583352
8,508.041022
2,418.773132
4,450.230261
1,604.004420
16,369.829538
32,475.912652
64,485.490216
8,503.369033
2,419.384358
16,379.303858
4,450.533762
32,467.686024
1,604.006482
64,483.062963
8,495.336937
2,419.238758
16,370.364730
4,450.048770
32,468.714029
64,481.583941
2,420.219326
16,381.011675
8,499.794776
1,605.007630
4,450.151507
32,466.751273
2,422.754840
64,494.980055
8,497.188946
4,447.679015
1,604.187548
32,463.057717
64,508.237142
8,495.338108
1,605.332835
1,604.420144
