cores,time_seconds
28,291.519340
16,311.017563
56,319.896406
10,330.652587
20,334.684782
8,343.809285
14,347.388783
12,358.368628
40,364.421545
48,412.399782
24,435.158801
32,442.871448
36,443.547591
6,474.753983
44,487.791854
2,502.199429
4,517.009136
60,527.805138
52,566.575829
28,292.103446
16,332.684672
56,322.890248
10,332.870280
20,334.669179
8,342.236785
14,361.548720
40,355.289597
12,367.404174
64,769.249162
1,784.492351
24,436.860310
28,289.566298
36,445.476789
48,482.768641
32,502.247444
6,471.865998
44,468.526477
16,330.075360
56,346.677593
10,335.347102
20,331.761880
2,503.440480
8,345.793930
4,517.948811
60,526.900394
14,356.906332
40,364.906010
12,363.746608
52,530.920496
28,293.122487
16,319.862459
48,399.674097
24,432.701760
56,320.582066
10,329.369447
36,444.527214
20,338.224188
8,337.421067
32,459.476599
44,463.396879
14,356.912929
6,479.977953
12,354.161047
40,363.503557
28,312.196665
2,503.390073
4,517.365374
1,788.183050
60,518.841301
56,324.948137
16,346.679131
52,540.688646
64,883.841259
10,329.248778
20,365.189518
8,343.129020
48,425.876612
14,364.459774
28,314.434334
36,462.956816
12,358.251012
24,499.514248
40,407.700731
44,466.316026
6,472.642121
32,524.898643
56,314.034014
10,328.221769
16,357.903618
2,500.919915
8,343.132828
20,366.272036
4,515.275084
60,521.393788
28,319.407387
12,354.612764
14,374.553390
52,527.887315
36,440.182931
48,520.426392
40,407.626054
56,328.836571
24,493.570492
10,328.788423
44,446.604588
1,781.764788
16,363.359189
6,465.856170
8,344.142397
32,492.134394
28,319.612305
20,375.936596
64,831.460877
2,500.684094
12,369.345548
14,365.712605
4,521.195374
56,330.559978
60,527.187195
10,342.201197
48,415.216898
40,401.668564
36,441.972791
52,545.552763
16,354.373198
8,345.135983
44,461.827429
24,499.905852
20,357.318680
6,465.880140
12,362.307957
14,360.864048
32,485.338292
2,502.444895
40,414.557099
48,425.933469
4,510.499132
36,438.035819
1,784.132836
60,520.301575
52,544.105577
44,472.809586
24,478.159378
6,475.810885
64,874.536422
32,490.569423
48,419.936443
2,502.390589
36,457.507998
4,525.810885
60,531.283344
44,455.559649
24,477.449369
6,478.840296
52,533.001066
32,504.136448
1,800.843461
2,518.786005
4,527.061827
60,519.801020
64,890.392434
52,518.523481
1,757.652376
64,888.204875
1,753.030903
