cores,time_seconds
8,342.164171
4,438.451405
64,439.085468
16,493.428944
2,594.529535
8,345.050290
1,787.799605
4,442.503776
64,444.559323
16,494.571310
8,349.879488
2,595.738175
64,438.233723
4,446.592402
8,342.153932
32,1444.066118
16,498.193378
1,788.040175
8,343.286430
64,441.145782
4,446.617090
2,593.241194
16,463.180063
8,341.942349
64,435.057373
4,440.805193
1,788.080138
2,593.779370
8,347.452136
16,480.510291
64,434.398427
4,445.111292
8,343.420902
32,1451.322547
16,467.943194
2,590.096285
64,440.170092
4,427.275072
1,788.267315
16,445.093320
64,438.464595
4,426.005871
2,592.221212
16,476.864560
1,787.215095
2,591.287816
32,1411.029063
1,787.183016
2,597.130476
1,787.316714
32,1457.733563
1,787.109672
32,1449.135501
32,1248.253949
32,1368.323579
32,1466.138670
