cores,time_seconds
64,623.444595
8,700.978749
32,732.320298
2,744.909940
1,754.771885
16,757.389659
4,797.177089
64,624.138399
8,685.427158
32,733.182229
2,742.108118
16,751.603224
1,756.119734
4,798.765931
64,621.389036
8,681.327545
32,745.427181
2,737.234178
16,748.217461
1,756.593043
4,796.155755
64,617.466654
8,678.958425
2,730.948050
32,749.474281
16,744.933682
1,758.053490
64,617.114006
4,790.520166
8,679.644650
2,729.777825
32,748.820666
16,755.556060
64,623.087685
1,757.494466
4,797.694695
8,681.675530
64,624.037496
2,719.717807
32,747.987798
16,733.180127
1,757.849415
4,789.607674
8,683.728214
64,624.186859
2,717.171660
32,721.216727
16,725.253877
1,759.889604
8,681.462470
4,774.681377
2,718.956283
32,732.692385
16,729.165639
1,759.260048
4,773.839539
128,590.372287
128,590.268497
128,590.851312
128,590.699931
128,590.372036
128,590.523936
128,590.803783
128,591.053782
