cores,time_seconds
16,654.793289
2,674.180340
4,673.800975
32,719.386463
1,720.066060
8,734.568553
16,654.916575
4,686.968408
2,694.452917
8,688.943966
1,720.546071
32,721.547701
16,655.047652
4,684.701010
2,684.689521
8,696.359328
32,719.345006
1,719.661580
16,655.741435
4,685.060087
2,690.111570
8,695.413454
1,719.218998
32,721.725359
16,655.146044
4,690.339415
2,690.244723
8,706.881301
1,718.156741
32,722.646030
16,654.908662
4,683.631438
2,683.161129
1,718.885276
32,728.618765
8,826.767114
16,657.050682
4,666.925134
2,666.840650
1,711.203509
32,721.512584
8,871.989652
16,655.305918
4,664.153074
2,666.437335
1,711.020964
32,719.548268
8,874.521250
64,607.319596
64,612.378381
64,620.579644
64,619.182143
64,619.421453
64,615.574751
64,609.618486
64,609.072297
128,595.972822
128,595.714189
128,595.378124
128,595.118594
128,595.180467
128,594.907732
128,594.765756
128,594.789955
