cores,time_seconds
64,597.658109
2,660.746856
1,661.366406
32,665.201865
16,722.123926
4,747.130637
8,747.073168
64,599.380806
2,660.625796
1,662.810539
32,663.236078
16,718.763222
4,741.770042
8,745.580622
64,598.185012
2,661.512708
1,662.110159
32,661.724171
16,717.168782
4,743.061605
8,743.800819
64,597.694674
2,662.089814
1,662.509236
32,662.498250
16,721.287138
4,734.730211
8,746.386334
64,598.489328
2,661.238336
32,660.831574
1,668.798308
64,597.749591
16,717.815989
4,726.206307
8,746.002139
2,661.039446
32,659.750005
1,661.414567
64,597.693341
16,717.226767
4,730.112181
8,748.072227
2,660.828398
32,660.453462
1,661.367982
64,598.066378
16,719.027762
4,727.136143
8,747.488203
2,658.528620
32,659.699297
1,659.049773
16,745.656755
4,726.078745
8,750.534217
