cores,time_seconds
20,320.608009
2,409.692088
6,419.273763
4,424.668281
12,440.069980
24,479.170371
16,486.937832
8,503.911046
14,526.434268
10,537.472088
1,623.725050
20,318.730594
2,409.953785
6,419.370253
4,430.678612
12,454.766699
20,313.201376
24,472.397658
8,501.924935
16,547.426763
14,521.712511
10,522.469574
2,409.422751
1,623.569261
6,415.613881
20,310.364179
4,425.331720
12,427.715077
24,470.881741
8,502.050315
16,529.700223
20,320.659407
14,551.644171
10,549.336518
2,409.501197
6,410.211718
4,427.659589
12,433.253125
1,621.544155
20,328.503420
24,484.484335
8,502.947796
2,410.137937
16,508.657190
10,477.553093
6,418.729995
4,427.427536
14,543.195820
12,435.776009
20,331.217192
24,469.462222
2,409.116866
1,619.781466
6,409.501455
28,438.250089
8,500.403645
20,321.056870
4,428.359352
16,540.257453
10,545.647409
12,439.667958
14,528.690292
32,521.385081
36,297.740435
2,415.552732
24,495.378356
6,425.976047
28,451.687162
4,424.975726
44,321.655166
8,498.993406
40,425.666415
12,436.614735
36,296.550974
1,619.518779
10,485.008917
16,521.681959
52,461.408635
14,519.080606
48,536.337484
32,502.947810
56,487.337735
2,407.645118
44,328.416452
60,471.727222
6,424.166734
24,486.075416
36,300.908389
28,445.587095
4,428.955391
40,433.998160
8,502.877559
12,446.743053
16,486.814511
10,515.232922
52,477.037987
44,330.718528
36,300.354019
1,616.117027
32,480.635183
14,538.631140
48,519.262494
56,487.647651
64,432.313641
60,475.469452
28,413.538266
24,471.407534
40,440.003366
44,323.601056
36,296.894790
8,502.790958
52,447.738028
10,477.955582
16,493.523271
64,416.694596
56,449.459939
28,407.640630
32,504.434081
48,513.529416
14,524.240736
60,470.485392
36,300.779473
44,328.978474
40,427.922217
1,611.786823
52,477.571349
36,298.519100
64,430.642366
44,332.259983
28,438.537405
56,481.802212
60,452.665013
40,428.949230
32,531.536362
48,521.762341
36,296.173283
1,611.582928
44,323.472722
64,423.355414
52,475.682881
28,447.014150
56,456.602579
40,428.137018
60,479.103517
32,492.059573
48,519.521714
44,323.921007
64,421.519671
52,457.506216
28,423.721340
40,417.304828
56,494.875723
60,447.730035
32,496.779065
48,518.420117
64,438.137118
52,463.030740
40,402.819695
56,497.192033
60,479.161630
32,499.338985
64,425.340539
48,505.712939
52,471.850648
60,449.180628
56,492.165983
64,432.880238
48,510.800496
