cores,mean,std,count,stderr,speedup,speedup_error,efficiency,efficiency_error
1,759.292227,15.807296144228344,8,5.588723147903914,1.0,0.007360437719723837,1.0,0.007360437719723837
2,643.05528525,39.04191105656771,8,13.803400029290538,1.1807573072116353,0.025345356492348498,0.5903786536058176,0.012672678246174249
4,384.16438125,4.330795850602125,8,1.5311675569476622,1.9764774249226418,0.007877664504538206,0.49411935623066044,0.0019694161261345515
6,349.8637205,3.777955548565494,8,1.3357089937060018,2.1702513936422854,0.008285581314199124,0.36170856560704756,0.0013809302190331873
8,375.716797,7.641666462736498,8,2.7017370876833975,2.020916373882534,0.014532181584697927,0.25261454673531675,0.001816522698087241
10,330.177687,3.792425061828052,8,1.3408247391802137,2.299647301726964,0.00933868070117209,0.22996473017269642,0.0009338680701172089
12,359.913073125,6.340245000022654,8,2.24161511695006,2.1096544796423475,0.013139376494571725,0.17580453997019563,0.0010949480412143105
14,371.681384,8.020716183056265,8,2.8357514015058833,2.042857833848359,0.015586029364905609,0.1459184167034542,0.001113287811778972
16,356.03729125,5.437082545336658,8,1.9222989688392824,2.1326199408332345,0.01151433631796517,0.13328874630207715,0.0007196460198728231
20,357.793678125,34.9501638322484,8,12.356748924681828,2.1221510424081087,0.07329052807391276,0.10610755212040543,0.003664526403695638
24,360.529726375,4.9378281345044055,8,1.7457858791208922,2.1060461078602786,0.010198064921991247,0.08775192116084495,0.0004249193717496353
28,316.51226387500003,3.489586209041228,8,1.2337550359740546,2.3989346185330334,0.009350973104020065,0.08567623637617976,0.00033396332514357374
32,525.5029345,20.48321977230761,8,7.24191180076654,1.4448867497237543,0.01991186293479331,0.04515271092886732,0.000622245716712291
36,453.64574024999996,25.420632693688145,8,8.987550879879668,1.6737558840110813,0.033160161847342655,0.04649321900030781,0.0009211156068706293
40,324.324568625,9.901193963390545,8,3.5006006966783816,2.3411492697549257,0.02526921965695462,0.058528731743873144,0.0006317304914238655
44,484.826175375,7.849804090353293,8,2.7753248516373556,1.5661122801645517,0.008965007568399639,0.03559346091283072,0.0002037501720090827
48,338.796344625,23.990130691087643,8,8.481792046609794,2.2411464558167826,0.05610727059429977,0.04669055116284964,0.0011689014707145786
52,521.969887375,25.694431626654204,8,9.08435342097064,1.454666725734889,0.02531699043551918,0.02797436011028633,0.00048686520068306116
56,334.569957,6.059268597876657,8,2.142274957294644,2.269457287224388,0.014531494568924023,0.04052602298614978,0.00025949097444507186
60,534.01415625,9.495407051706911,8,3.3571333581942593,1.421857862967467,0.008938651544181577,0.023697631049457782,0.00014897752573635962
64,456.62485987499997,9.78880421526732,8,3.460864920161491,1.662835937596246,0.01260301632720143,0.025981811524941344,0.00019692213011252236
