cores,time_seconds
4,287.559878
12,302.936796
48,317.803966
44,327.745810
20,334.944054
32,343.138029
24,350.353678
28,352.861410
16,352.381924
6,364.641831
52,402.824860
10,410.530172
8,410.788383
64,451.576449
56,455.945729
36,457.974280
60,476.529255
40,495.708443
2,503.863621
14,548.497363
4,288.343294
12,316.633700
48,313.934757
44,328.894862
20,331.683182
32,336.619082
1,687.484759
28,334.984377
24,350.105027
16,349.563846
6,364.555516
8,402.906684
52,414.642511
10,408.065925
4,287.656275
64,434.638317
36,460.078444
12,320.697296
56,495.688532
48,320.222698
60,479.953201
44,330.456102
40,494.289287
20,331.549804
2,505.064249
32,338.600625
28,340.381978
24,348.308109
16,351.831975
14,544.616681
6,365.716572
4,300.711330
8,403.673394
10,408.874492
52,421.728298
12,312.142749
48,320.601143
44,326.028870
20,332.432234
64,446.974685
32,339.241335
28,344.127068
1,689.323535
36,466.327920
24,346.332250
16,354.527052
56,460.899720
60,495.589004
4,288.126530
6,366.237911
40,492.110729
2,504.222202
12,313.547098
48,322.943662
8,404.979100
10,408.193068
14,549.264774
44,329.698620
20,331.064765
52,438.555778
32,338.652387
28,341.960766
4,288.535976
24,346.750132
16,352.685232
64,438.791946
6,364.618148
36,464.473202
56,459.637585
12,314.156627
48,320.141118
60,481.122673
40,489.269321
44,328.891168
20,332.264631
2,504.624854
8,404.824270
4,287.972069
32,338.161556
28,342.038181
10,422.995300
1,689.886808
24,348.150264
52,419.819114
16,351.817222
6,363.945072
12,315.315986
14,554.476636
64,428.290885
48,317.723725
44,328.368499
36,464.553810
4,288.186715
20,333.209773
56,483.909342
32,338.322255
28,339.377033
60,473.676418
8,404.634553
24,349.036303
40,495.379648
10,413.979340
16,359.369396
12,316.124801
52,415.753956
2,498.305558
48,316.817678
6,363.916427
64,414.809298
44,329.663935
20,333.243369
32,335.819253
28,342.685111
14,542.353116
1,688.890514
36,465.412040
24,348.251450
56,457.083969
16,352.807710
8,407.397040
60,470.705064
10,413.378170
6,365.353499
52,415.630897
40,489.021086
2,498.699981
64,426.724311
8,397.906633
36,464.131218
10,410.548396
14,558.859850
56,487.664661
52,414.561733
60,467.605773
1,690.897667
40,492.450696
64,420.201384
2,500.059218
36,466.085116
56,470.047922
60,468.200317
14,534.477027
40,502.165533
2,499.013550
1,690.351627
14,556.674978
1,686.847001
1,688.283139
