cores,time_seconds
10,313.805063
52,351.314789
4,364.011089
14,397.171468
40,425.086978
60,441.097559
32,447.179337
44,451.606486
36,461.079459
20,461.791403
12,467.041230
48,472.951408
16,472.035218
28,475.899094
24,505.753278
2,512.995135
56,523.092333
8,543.427494
64,434.107775
10,313.643586
6,637.984971
52,365.575229
4,362.679208
1,736.652548
14,390.817919
40,427.395055
60,432.520890
32,439.341737
44,462.313119
36,461.947048
20,462.136658
12,462.688231
16,456.334441
10,315.771595
48,469.097870
28,470.384241
64,426.016853
24,486.230659
2,506.535980
56,516.897249
52,345.045804
4,362.165134
8,556.160176
14,393.362909
6,608.240153
10,314.099272
40,475.103304
32,444.397765
60,464.657954
36,445.504971
44,466.156049
16,458.550354
48,465.898688
20,481.315505
52,346.346198
64,426.015779
12,493.920703
28,486.099682
4,364.086227
1,744.678154
24,487.444640
2,509.829213
56,524.443959
14,392.200309
10,322.550267
8,548.926955
60,424.551803
40,444.163861
52,361.192133
32,449.505773
36,449.055111
4,364.598215
44,462.124864
64,433.450958
16,461.922239
48,470.509909
12,460.197260
10,314.208223
6,653.740085
20,518.671955
28,517.465601
14,400.141830
24,509.858330
2,511.818221
56,516.853484
52,345.633220
4,360.793190
8,545.992748
60,441.725893
10,317.170011
1,731.665024
40,445.715527
32,454.563976
36,460.393452
64,458.155241
44,464.413029
16,467.273366
12,463.590148
48,476.332162
14,393.472607
20,456.030785
28,493.967798
52,347.296461
6,584.434168
24,504.152033
10,316.969379
4,360.500246
2,515.445971
56,519.474417
60,435.179313
40,441.138617
32,473.967919
36,451.400926
8,545.690090
64,449.740109
14,396.306983
44,463.780645
48,464.460009
52,359.499691
16,502.097189
12,476.675057
20,457.497253
4,359.622332
28,483.440456
1,733.352139
24,521.281187
2,508.756742
6,582.807120
40,424.337351
60,447.300304
56,520.966111
14,389.889391
64,422.276603
36,454.574081
32,493.020341
44,459.154550
48,467.931866
12,470.184067
20,460.287499
16,476.957067
8,584.979035
28,461.369134
24,499.669090
60,438.866098
40,452.076317
2,502.949024
64,436.455409
36,443.873042
56,508.740511
6,602.819783
32,476.723823
44,445.376376
1,739.510145
48,465.313501
20,452.903520
16,471.086294
12,482.778127
28,468.070650
8,565.983269
24,498.269362
2,503.857093
56,510.940885
6,581.103136
1,715.913392
8,535.988144
6,649.018243
1,713.479547
1,709.815751
