cores,time_seconds
32,646.170462
16,708.302060
2,712.307716
4,758.540476
8,797.856156
1,840.992091
32,644.483881
16,691.298015
2,710.285196
4,760.535167
8,800.215347
1,840.694539
32,647.553594
16,689.475493
2,707.283533
4,759.492604
8,796.102107
1,858.180903
64,592.999994
32,648.100404
16,686.496520
2,704.082845
4,761.416156
64,593.404761
8,791.206087
32,648.459209
1,843.622790
16,684.835491
2,704.758268
64,592.866526
4,760.607248
32,647.397283
8,798.063662
16,692.061080
1,830.282204
2,702.395873
64,597.212440
32,646.080446
4,760.768007
8,789.654025
16,690.054923
2,702.336447
64,592.926907
1,818.110149
32,649.751455
4,763.146843
16,688.295012
64,593.641860
8,780.154673
2,702.413007
1,821.088617
4,761.819991
64,593.805422
8,773.541544
1,823.275918
64,593.147728
128,592.544654
128,595.471842
128,591.877871
128,591.210394
128,591.719938
128,595.500715
128,591.513490
128,591.027172
