cores,time_seconds
64,594.974315
4,608.212785
16,658.150651
1,700.297092
8,704.783420
2,736.030361
32,759.155223
64,593.201385
4,608.413433
16,657.111103
1,701.988498
8,707.773956
2,738.045543
32,760.501552
64,592.329395
4,609.003028
16,657.195114
1,700.978112
8,709.165555
2,736.885455
32,761.059040
64,592.850446
4,608.946358
16,657.404250
1,592.449183
8,707.499004
2,737.491803
64,592.920303
4,608.475064
32,762.294779
16,656.936012
1,592.509000
8,708.064073
64,593.526363
4,608.864958
2,739.708399
32,761.017079
1,592.822356
16,656.828190
64,595.374263
8,710.921718
4,609.117092
2,740.394839
1,591.803644
32,763.824419
16,657.292477
64,591.686409
4,609.290714
8,707.922548
1,593.563529
2,772.689035
16,656.980526
32,761.116508
8,707.483784
2,773.646955
32,764.022076
