cores,time_seconds
32,655.271834
4,682.262821
8,702.527551
16,718.572817
1,833.234554
2,833.720647
32,655.867811
4,682.679634
8,703.737988
16,719.114996
1,831.752715
2,833.306188
32,655.194620
4,682.958990
8,702.880813
16,722.602629
1,824.160730
2,824.093632
32,656.201928
4,681.873312
8,702.330362
16,717.713412
32,656.184757
1,807.997085
2,808.365863
4,679.368868
8,703.539697
16,723.142015
32,655.246920
4,681.972855
1,820.196891
2,819.362560
8,702.480419
16,718.771481
32,657.882259
4,682.763993
8,702.117651
1,819.334897
2,819.998146
16,720.141551
32,656.565829
4,682.725982
8,701.621536
1,820.770035
16,723.417090
2,830.402564
64,658.427764
64,652.137592
1,780.454649
2,780.171320
64,651.678811
64,646.530675
64,646.117865
64,643.341630
64,638.991225
64,646.500696
128,596.184447
128,596.288409
128,596.432645
128,595.888142
128,596.479594
128,596.104945
128,596.238249
128,595.896005
