cores,time_seconds
2,713.090047
1,762.976495
8,783.103928
16,794.857712
4,1006.309795
32,1154.517994
2,712.866191
1,745.554885
8,776.232186
16,794.522631
4,1010.770944
2,712.819517
1,742.159328
32,1148.747476
8,765.597874
16,795.650659
2,712.336405
1,739.208654
4,989.771760
8,776.574325
16,799.560114
32,1128.781015
2,712.348355
1,740.770224
8,779.160464
16,796.336045
4,1050.401717
2,712.510392
1,746.060490
32,1118.373723
8,773.037107
16,805.690241
2,715.166244
4,1057.251866
1,746.615305
8,771.881194
16,796.696818
32,1148.876408
2,713.262414
1,724.199046
4,1038.074728
64,1189.514862
8,800.412728
16,805.429255
32,1125.935470
4,1027.697099
64,1130.985744
32,1133.140332
4,993.381597
64,1230.985184
32,1137.087885
64,1160.905451
64,1197.333699
64,1254.939590
64,1259.198344
64,1147.345209
128,1198.872835
128,1410.482589
128,1271.004466
128,1220.188191
128,1226.886940
128,1189.848141
128,1175.900854
128,1212.792254
