cores,time_seconds
4,702.821169
1,769.267978
8,801.795509
2,960.420982
16,1172.390380
32,1299.826215
4,693.139979
1,770.434194
8,800.109861
2,952.756645
4,691.786811
1,770.537922
16,1155.035551
8,804.703620
32,1309.403641
4,686.566375
2,959.920467
1,773.890950
8,814.995172
16,1114.472443
4,687.945496
64,1185.909239
2,960.965519
1,771.614099
32,1309.260337
8,808.031904
4,684.813656
1,772.870910
16,1191.706148
2,956.019056
4,689.551486
8,809.142647
64,1160.179559
32,1290.573807
1,774.305542
4,690.726349
8,804.529826
2,961.453568
16,1160.648000
64,1136.857352
1,771.944864
8,803.069733
32,1308.602432
2,963.926472
16,1202.564533
64,1163.368738
2,951.023453
32,1332.281936
16,1190.885338
64,1193.046805
32,1307.943559
16,1153.435571
64,1177.221614
32,1326.660576
64,1133.579277
64,1126.036784
128,1219.716118
128,1255.832395
128,1192.508184
128,1159.572176
128,1186.655344
128,1210.517264
128,1223.249966
128,1171.362532
