cores,time_seconds
2,659.055593
1,739.985014
4,771.708509
8,1146.990074
16,1237.745111
2,669.989679
32,1404.362251
1,738.791190
4,766.889958
2,672.615273
1,739.015994
8,1106.850556
4,762.402041
16,1263.104519
2,671.357977
32,1364.420048
1,740.977458
4,765.544925
2,665.602032
8,1106.403654
1,740.998077
16,1273.850379
4,767.481044
2,663.627062
32,1418.344223
1,741.171016
8,1115.827484
4,770.556005
2,667.659321
16,1252.903543
1,742.163884
2,660.820470
4,772.104048
32,1396.380282
8,1119.975067
64,1109.407690
1,742.866943
4,821.360103
16,1239.816350
64,1113.295663
8,1158.632228
32,1412.791464
16,1248.864260
64,1110.779985
8,1084.764518
32,1377.874155
16,1231.546543
8,1073.167826
64,1154.537535
32,1381.649543
16,1244.420156
64,1136.290127
32,1413.932917
64,1146.728222
64,1130.135797
64,1100.573528
128,1218.812291
128,1187.951816
128,1189.063234
128,1252.642078
128,1154.954735
128,1232.159088
128,1199.898319
128,1221.497396
