problem_size,init_time_speedup,init_time_speedup_se,init_time_efficiency,init_time_efficiency_se,step_time_speedup,step_time_speedup_se,step_time_efficiency,step_time_efficiency_se,dxdt_time_speedup,dxdt_time_speedup_se,dxdt_time_efficiency,dxdt_time_efficiency_se,norm_time_speedup,norm_time_speedup_se,norm_time_efficiency,norm_time_efficiency_se,total_time_speedup,total_time_speedup_se,total_time_efficiency,total_time_efficiency_se,max_size
1,1.0,0.0,1.0,0.03255425081997841,1.0,0.0,1.0,0.0033867874770608848,1.0,0.0,1.0,0.0015668594863688984,1.0,0.0,1.0,0.002845792676869782,1.0,0.0,1.0,0.001937828217240744,1
2,1.4935093206842425,0.0982556960997064,0.7467546603421212,0.0491278480498532,1.9093859432908986,0.00757239095349386,0.9546929716454493,0.00378619547674693,1.9155596347911805,0.008055769961312733,0.9577798173955903,0.004027884980656367,0.9545294676294283,0.012670007822829373,0.4772647338147141,0.006335003911414686,1.9072239050718278,0.007952160182857286,0.9536119525359139,0.003976080091428643,2
4,1.8423597632797486,0.42581119074680646,0.46058994081993715,0.10645279768670161,4.138473956126177,0.4840364894489935,1.0346184890315442,0.12100912236224838,3.953792365703504,0.1720286894857505,0.988448091425876,0.04300717237143763,1.1748522653535645,0.1563669742702918,0.2937130663383911,0.03909174356757295,3.963032716469824,0.25606881196179,0.990758179117456,0.0640172029904475,4
6,2.0339289529099402,0.6436640500821019,0.3389881588183234,0.10727734168035032,2.5489536204615226,0.3227743378436766,0.42482560341025377,0.0537957229739461,5.8742604080306835,0.2597758494999075,0.9790434013384473,0.04329597491665125,0.7229749537950678,0.1004025170909329,0.12049582563251131,0.016733752848488815,4.219974625333492,0.27015985669583387,0.7033291042222487,0.04502664278263898,6
8,2.2911880994618,1.0653761241386759,0.286398512432725,0.13317201551733449,2.855293984507347,0.0985971366470013,0.35691174806341835,0.012324642080875163,7.51302858828708,0.1933118208989454,0.939128573535885,0.024163977612368177,0.5260002256884266,0.015323848736847513,0.06575002821105333,0.001915481092105939,5.1649187827896545,0.08766235875476518,0.6456148478487068,0.010957794844345647,8
10,4.489669473105654,1.1492844220343816,0.4489669473105654,0.11492844220343816,8.753687465346188,0.5300747357516307,0.8753687465346187,0.05300747357516307,9.236056392429568,0.16731418074585722,0.9236056392429568,0.01673141807458572,0.8729262981701273,0.08752565003139,0.08729262981701273,0.008752565003139,8.767103453640997,0.2551891004428952,0.8767103453640998,0.025518910044289522,10
12,2.1236322331676636,0.8197832705667243,0.17696935276397197,0.06831527254722702,4.838720348298538,0.565834432365856,0.40322669569154485,0.04715286936382133,9.503654828317876,0.2077841488994076,0.7919712356931563,0.0173153457416173,0.5999397899783402,0.0689640471831057,0.04999498249819501,0.005747003931925475,7.208774646884648,0.341850277048707,0.6007312205737206,0.02848752308739225,12
14,3.948168542524399,2.5390907400121288,0.2820120387517428,0.18136362428658062,5.425968561502252,0.5562044214857856,0.3875691829644466,0.03972888724898469,11.024110568732434,0.22669950381751178,0.7874364691951738,0.01619282170125084,0.5377457004464737,0.05880723784879578,0.038410407174748126,0.004200516989199698,8.155559610051283,0.3457111504485832,0.5825399721465202,0.024693653603470228,14
16,14.078333108199379,0.5280663019076999,0.8798958192624612,0.03300414386923124,6.6279761763557135,0.5852606032777287,0.4142485110222321,0.03657878770485804,12.411742465971374,0.31782590960211415,0.7757339041232109,0.019864119350132135,0.6138388978867214,0.060080159777033446,0.03836493111792009,0.0037550099860645903,9.467484072020454,0.3924926171188874,0.5917177545012784,0.024530788569930462,16
18,2.365266117028088,1.8352767686709308,0.13140367316822713,0.10195982048171838,6.927386652961138,0.6200372504253826,0.38485481405339655,0.03444651391252126,14.371841867372709,0.19429326377796152,0.7984356592984838,0.010794070209886751,0.5294730335660714,0.044922806621480835,0.029415168531448415,0.0024957114789711573,10.335940062189986,0.3393160506623443,0.5742188923438881,0.018850891703463574,18
20,2.529938857703303,0.9903783596651367,0.12649694288516516,0.04951891798325683,6.987677243645481,0.1225919283300551,0.3493838621822741,0.006129596416502755,16.02993805656744,0.229076904504493,0.8014969028283719,0.01145384522522465,0.5554067679800743,0.018725496816560522,0.027770338399003714,0.0009362748408280261,11.267783801222167,0.1639726114314303,0.5633891900611083,0.008198630571571514,20
22,3.4390781210937598,2.1037460644375594,0.15632173277698908,0.09562482111079816,8.556823497205896,0.12281419823559245,0.38894652260026796,0.005582463556163293,18.19497342136618,0.23536897889174077,0.8270442464257354,0.01069858994962458,0.48564347009379494,0.0074301161802723375,0.02207470318608159,0.0003377325536487426,12.846763394899966,0.16922988264612296,0.5839437906772712,0.007692267393005589,22
24,3.7154768145985546,1.1550564965253505,0.15481153394160643,0.048127354021889605,8.969883663875459,0.2606660300957337,0.37374515266147745,0.010861084587322238,19.65938929519843,0.21996562381309476,0.8191412206332679,0.009165234325545614,0.7043143057597203,0.023130481670358985,0.029346429406655012,0.0009637700695982911,13.907368259579755,0.21575024010681326,0.5794736774824898,0.008989593337783887,24
26,3.1966355831494195,2.258335658967316,0.12294752242882383,0.08685906380643524,10.174221023829801,0.43874714680113885,0.3913161932242231,0.016874890261582263,21.22769414199253,0.25451835527066635,0.8164497746920204,0.009789167510410245,0.5905932751346553,0.02032433849883481,0.02271512596671751,0.0007817053268782619,14.902593089778591,0.29605784396755963,0.5731766572991766,0.011386840152598447,26
28,2.973099049414584,1.6779161961880111,0.1061821089076637,0.05992557843528611,10.813610154447273,0.6498186952526667,0.3862003626588312,0.023207810544738094,21.49564059619363,1.1733605095710975,0.7677014498640583,0.04190573248468205,0.6933095950826569,0.030039602234565674,0.024761056967237745,0.001072842936948774,15.600725307814589,0.29315436274766443,0.5571687609933782,0.010469798669559443,28
30,1.9638670390478759,0.9330025955132216,0.0654622346349292,0.031100086517107387,11.5169747324929,0.3683804074205179,0.3838991577497633,0.012279346914017265,28.73820662558247,0.321462039793256,0.957940220852749,0.010715401326441866,0.6456402811430818,0.018622012086489087,0.021521342704769394,0.0006207337362163029,18.370973788879574,0.2982780326445108,0.6123657929626525,0.00994260108815036,30
32,7.99153389938634,5.403025178832246,0.24973543435582313,0.1688445368385077,12.569043873385592,0.3459702853873009,0.39278262104329975,0.010811571418353153,27.956382807403187,0.41107165507472787,0.8736369627313496,0.012845989221085246,0.4943391087436666,0.016195767459925903,0.015448097148239581,0.0005061177331226845,18.124534211221803,0.3225644926384426,0.5663916941006814,0.010080140394951332,32
64,56.49074528500316,,0.8826678950781743,,20.85091765351168,,0.32579558833612,,62.89284977554285,,0.982700777742857,,0.5750892605034101,,0.008985769695365783,,32.09535685900561,,0.5014899509219627,,64
128,125.44659192974285,,0.980051499451116,,43.87900293228391,,0.34280471040846805,,100.85436438944403,,0.7879247217925315,,0.39660467562450985,,0.003098474028316483,,44.06988577305205,,0.34429598260196914,,128
