problem_size,size,run_id,init_time,step_time,dxdt_time,norm_time,total_time
1,1,0,0.025576,162.713403,511.947379,1.901834,676.631701
2,2,0,0.029581,174.971077,506.886315,1.918833,683.842388
10,10,0,0.054726,262.697507,471.133289,7.027344,740.963120
12,12,0,0.015129,240.537687,546.873676,5.627481,793.109785
8,8,0,0.033120,343.572199,552.413174,2.382801,898.484936
4,4,0,0.059774,389.717060,561.737014,3.213325,954.791307
6,6,0,0.054393,407.325071,543.024902,4.836192,955.332740
28,28,0,0.010556,527.803693,464.561800,77.267071,1069.689079
22,22,0,0.011749,455.620611,645.539769,28.623262,1129.888581
20,20,0,0.013224,454.546155,645.947698,29.392895,1129.967680
14,14,0,0.014088,467.806619,646.675270,18.679568,1133.266585
64,64,0,0.011347,517.086140,597.072303,22.113267,1136.387277
32,32,0,0.011870,512.389080,570.111943,56.479053,1139.067612
24,24,0,0.013056,485.538912,644.242237,37.144853,1167.004232
26,26,0,0.011369,511.079546,645.400260,11.316309,1167.929581
18,18,0,0.301430,518.668895,651.502346,2.774772,1173.332489
16,16,0,0.164397,499.530854,654.122196,18.767304,1172.637826
2,1,0,0.046223,499.894191,1000.700250,4.063847,1504.770298
30,30,0,0.010406,1397.242982,465.993858,345.514903,2208.798074
4,1,0,0.074150,816.292630,2000.273346,7.570862,2824.279461
6,1,0,0.111443,1150.745228,2863.479579,11.204011,4025.627784
128,128,0,0.012130,483.896452,662.029116,322.808576,1468.866809
8,1,0,0.114816,1300.284764,3827.565369,14.313825,5142.340710
10,1,0,0.148681,1548.106453,4685.014645,17.712838,6251.022364
12,1,0,0.164257,1922.542110,5885.404850,22.055725,7830.247093
14,1,0,0.192732,2469.176839,7125.441444,26.997534,9621.860706
16,1,0,0.250572,2688.434960,8240.866835,30.615156,10960.224700
18,1,0,0.263709,3158.200131,9033.219398,34.110900,12225.848895
20,1,0,0.242053,3489.777157,10047.828539,37.893828,13575.789122
22,1,0,0.269569,3614.007893,11027.663772,41.551565,14683.540568
24,1,0,0.272445,3983.896659,11865.703430,44.495747,15894.414006
26,1,0,0.355665,4205.213675,12782.337655,48.035624,17035.983898
28,1,0,0.373554,4500.264467,13786.489408,51.671906,18338.843823
30,1,0,0.360747,4554.509618,13977.824077,52.570601,18585.315372
32,1,0,0.404107,5324.146374,16317.139489,61.370246,21703.119866
64,1,0,0.712235,10603.737117,32791.152635,122.258878,43517.915745
128,1,0,1.338291,21185.955880,64751.342559,243.716879,86182.413315
