problem_size,size,init_time,step_time,dxdt_time,norm_time,total_time
1,1,0.028609,183.719779,541.372916,2.524293,727.700103
2,2,0.039884,177.791112,545.574122,5.098445,728.548099
4,4,0.032475,208.683912,545.245691,11.003353,765.033819
10,10,0.013727,194.156386,544.753470,31.704817,770.724170
6,6,0.055091,443.580468,569.419935,26.539710,1039.737474
8,8,0.137700,431.962186,577.410592,37.087413,1046.728362
16,16,0.013981,437.921976,648.654683,73.355133,1160.045009
12,12,0.014626,460.924399,641.610971,58.732402,1161.364616
20,20,0.014358,445.297552,618.403150,100.329602,1164.177167
18,18,0.014280,446.920989,622.019830,94.900160,1163.943597
30,30,0.348338,472.265076,565.384171,145.398721,1183.446017
14,14,0.021515,470.606512,642.325009,74.983772,1188.004152
22,22,0.274924,452.403888,651.621313,125.236682,1229.619193
26,26,0.373912,455.511004,665.788788,142.804888,1264.589632
24,24,0.013379,481.848138,663.310060,106.137714,1251.468565
28,28,0.012284,482.507292,669.301119,143.072695,1295.013496
32,32,0.028276,457.779683,622.892330,198.418891,1279.242764
2,1,0.052656,342.788625,1056.644577,5.047800,1404.575524
1,1,0.030568,185.619785,542.463624,2.523035,730.682338
2,2,0.034904,178.408144,548.090705,5.167421,731.734768
4,4,0.024575,205.109877,547.083658,10.911847,763.192752
10,10,0.033587,194.095553,545.686570,31.594709,771.516330
64,64,0.011490,627.432632,564.658641,614.536397,1806.739278
6,6,0.015812,475.404968,518.603500,24.360926,1018.449940
8,8,0.082003,476.820391,519.158151,36.039332,1032.166826
1,1,0.028241,186.051854,543.086477,2.539051,731.758652
2,2,0.027871,178.710098,548.753114,5.222943,732.748128
4,4,0.054661,206.112727,545.202397,11.147640,762.587296
12,12,0.058390,452.359034,642.866059,58.318519,1153.678003
16,16,0.015128,426.916077,649.567752,78.178382,1154.761366
10,10,0.043778,194.478161,545.451592,31.819283,771.896325
18,18,0.012563,457.797346,620.151136,101.757900,1179.824717
20,20,0.022481,467.509900,620.493720,92.068244,1180.170526
14,14,0.015917,460.423218,641.518473,75.486311,1177.540744
30,30,0.111145,470.122764,566.141203,146.065633,1182.486450
22,22,0.064403,459.623537,652.368758,125.194745,1237.360520
26,26,0.079599,416.883043,660.960359,142.719298,1220.773477
24,24,0.160486,487.632078,662.158492,103.392834,1253.503151
32,32,0.012177,462.800381,619.351686,199.422199,1281.717549
28,28,0.188245,375.058256,854.253902,115.804155,1345.424935
2,1,0.053639,343.583606,1058.531659,5.069048,1407.286898
1,1,0.031668,186.101438,544.898359,2.550070,733.645847
2,2,0.032274,178.260435,547.896770,5.170336,731.387456
4,4,0.073087,206.254091,547.088348,11.248305,764.740701
6,6,0.098083,473.535929,517.389259,25.265473,1016.350123
8,8,0.015212,476.822399,517.600215,35.759041,1030.258114
10,10,0.055195,200.961230,544.129480,32.689761,777.926739
64,64,0.011536,525.506150,558.911564,425.857062,1510.372204
12,12,0.197641,456.404727,641.491661,58.474295,1156.634513
16,16,0.015354,435.292892,649.306323,79.037636,1163.733200
18,18,0.389680,460.904495,619.215570,92.618685,1173.240729
20,20,0.219364,465.226201,621.753035,87.997747,1175.278768
30,30,0.010932,470.700222,564.568588,145.785171,1181.113089
14,14,0.168038,468.615097,642.788421,74.643653,1186.315618
2,2,0.039625,178.442715,546.908339,5.157421,730.575093
1,1,0.028493,185.820248,543.893513,2.528931,732.326725
22,22,0.013943,444.069516,652.845232,123.932657,1220.942628
4,1,0.073853,1225.213157,2507.643267,19.445375,3752.481005
26,26,0.013565,480.269041,664.698041,137.729979,1282.826565
24,24,0.041003,479.549951,661.982652,111.112262,1252.833587
4,4,0.024901,206.394503,546.376719,11.128457,763.991082
10,10,0.013821,193.652431,545.923792,31.853246,771.552720
32,32,0.011627,463.837649,619.063135,204.696338,1287.725670
28,28,0.332046,503.792115,666.957455,125.116956,1296.329529
6,6,0.015484,475.484375,516.679793,25.071894,1017.322607
8,8,0.015270,474.901413,517.237193,34.997146,1027.222332
2,1,0.050802,341.247681,1050.844296,4.962783,1397.153864
12,12,0.077245,456.802565,642.384249,58.451331,1157.787773
64,64,0.010999,552.638169,557.374512,215.093777,1325.203982
16,16,0.014422,431.251273,649.487936,75.515923,1156.344646
18,18,0.013089,457.077801,617.569887,99.310981,1174.061870
20,20,0.100574,470.521356,619.363510,85.615192,1175.682544
30,30,0.012393,472.669168,559.414110,148.222084,1180.359857
14,14,0.014449,471.495719,642.068553,75.200784,1188.863610
22,22,0.014497,457.108352,651.501862,125.203158,1233.924565
26,26,0.013903,485.144434,664.397762,139.210570,1288.853292
24,24,0.105808,486.017722,661.614811,105.618860,1253.510724
6,6,0.077666,479.704254,516.208368,24.429858,1020.511282
8,8,0.015887,471.550719,516.203263,34.690691,1022.532967
32,32,0.179197,443.064071,616.914157,207.519553,1267.773620
28,28,0.013335,495.851500,669.793058,125.467692,1291.237458
6,1,0.115005,1798.204681,3586.588221,28.180427,5413.240861
2,1,0.051880,336.988057,1038.730554,4.776011,1380.592447
8,1,0.123644,1486.697420,4172.516818,20.787092,5680.249910
12,12,0.055310,463.183658,641.414655,58.811921,1163.529556
16,16,0.015145,433.238416,649.139973,78.817970,1161.277636
18,18,0.046701,459.442181,618.453393,92.075792,1170.092448
20,20,0.122433,463.063689,618.337969,86.908604,1168.506326
14,14,0.015440,453.117330,633.179137,72.016814,1158.395562
30,30,0.418419,472.726049,559.556457,147.979126,1180.724132
64,64,0.011370,534.716369,550.439577,235.716109,1320.978444
22,22,0.036234,452.147287,652.118981,124.153501,1228.548689
24,24,0.095146,475.373475,653.003618,109.873233,1238.415365
26,26,0.013817,482.862473,664.310734,137.177616,1284.494622
32,32,0.011692,450.711073,619.546811,198.843339,1269.252686
28,28,0.021635,494.072178,660.654655,126.745309,1281.575349
10,1,0.145233,1612.323862,4949.878416,25.218687,6587.609723
4,1,0.090624,906.493487,2208.468979,13.936165,3129.074469
2,1,0.051727,337.824413,1038.562900,4.787031,1381.282327
64,64,0.011657,530.107782,561.729883,249.145343,1341.086713
128,128,0.011950,494.071262,644.780302,862.551658,2001.539268
6,1,0.106873,1063.208653,2999.285866,16.002253,4078.669395
4,1,0.073559,709.820411,2023.042348,10.460069,2743.503902
12,1,0.197160,3246.474091,6623.114691,51.198100,9921.053358
128,128,0.011594,487.208221,645.971916,855.731347,1989.038256
8,1,0.123188,1294.531104,3940.750122,18.273342,5253.790843
14,1,0.194772,3551.342449,7623.452686,57.459701,11232.518458
4,1,0.074142,725.808156,2043.569053,10.838186,2780.367053
16,1,0.205737,3794.081847,8629.580268,60.022341,12483.947722
128,128,0.012524,494.425256,643.904582,824.506632,1962.977761
10,1,0.143488,1613.024438,4957.330528,25.154959,6595.698448
6,1,0.115322,1070.774473,3018.357277,16.038970,4105.366791
18,1,0.230908,4287.207715,9306.882021,67.129589,13661.517879
20,1,0.263505,3383.716138,10377.172935,53.267800,13814.470642
128,128,0.011797,483.667844,650.853332,827.344628,1961.986244
4,1,0.074163,705.867220,2015.070703,10.453547,2731.557944
8,1,0.120615,1296.411088,3935.620032,18.281890,5250.532544
22,1,0.300623,4079.814358,12478.118157,64.243629,16622.531624
128,128,0.012257,491.626442,647.625529,822.419384,1961.811498
6,1,0.097783,1029.336417,2945.314204,15.384937,3990.193978
12,1,0.165780,1925.693003,5932.231036,30.547900,7888.690829
24,1,0.338283,4820.285745,13542.936962,84.591293,18448.221704
10,1,0.142431,1602.885197,4937.935038,25.017189,6566.024239
26,1,0.312322,5187.727282,14595.267196,90.901385,19874.277045
14,1,0.184056,2246.574425,6893.120299,35.476571,9175.402300
28,1,0.331474,5566.811171,15666.746494,95.091482,21329.044918
8,1,0.120771,1292.812174,3926.714988,18.273238,5238.024368
6,1,0.098183,1022.679665,2948.520689,15.248129,3986.606668
30,1,0.346876,5952.997494,16707.068432,102.702938,22763.185396
16,1,0.206012,2528.378218,7822.708478,40.028683,10391.358215
32,1,0.416384,6026.510006,17826.984615,106.012640,23959.988143
