size,N,calculated_pi,error,time
1,10000000,3.141609,0.000510,2.325364e-01
2,10000000,3.141608,0.000520,6.758001e-02
3,10000000,3.141641,0.000523,4.495702e-02
4,10000000,3.141621,0.000522,5.752858e-02
5,10000000,3.141618,0.000533,2.858530e-02
6,10000000,3.141620,0.000524,2.255310e-02
7,10000000,3.141606,0.000520,1.928659e-02
8,10000000,3.141604,0.000503,1.689511e-02
9,10000000,3.141611,0.000498,1.599513e-02
10,10000000,3.141616,0.000509,1.447747e-02
11,10000000,3.141625,0.000513,1.324171e-02
12,10000000,3.141636,0.000512,1.202957e-02
13,10000000,3.141630,0.000500,1.124215e-02
14,10000000,3.141623,0.000504,1.049400e-02
15,10000000,3.141628,0.000515,1.654382e-02
16,10000000,3.141628,0.000520,9.448527e-03
