size,N,calculated_pi,error,time
1,1000000,3.141624,0.001636,1.439906e-02
1,1000000,3.141624,0.001636,1.436628e-02
2,2000000,3.141607,0.001091,1.447281e-02
1,2000000,3.141616,0.001244,2.874794e-02
3,3000000,3.141596,0.000908,1.454648e-02
1,3000000,3.141669,0.001042,4.304288e-02
4,4000000,3.141613,0.000711,1.450899e-02
1,4000000,3.141659,0.000944,5.745596e-02
5,5000000,3.141589,0.000695,2.451921e-02
1,5000000,3.141624,0.000786,7.194781e-02
6,6000000,3.141620,0.000601,1.470826e-02
1,6000000,3.141602,0.000708,8.621256e-02
7,7000000,3.141616,0.000537,1.578899e-02
1,7000000,3.141606,0.000656,1.006220e-01
8,8000000,3.141643,0.000486,1.554146e-02
1,8000000,3.141643,0.000594,1.151359e-01
9,9000000,3.141645,0.000458,1.482894e-02
1,9000000,3.141614,0.000568,1.292771e-01
10,10000000,3.141641,0.000473,1.497418e-02
1,10000000,3.141609,0.000539,1.435837e-01
11,11000000,3.141641,0.000437,1.523598e-02
1,11000000,3.141618,0.000512,1.581902e-01
12,12000000,3.141646,0.000400,1.503129e-02
1,12000000,3.141599,0.000520,1.726310e-01
13,13000000,3.141653,0.000379,1.741236e-02
1,13000000,3.141606,0.000482,1.867987e-01
14,14000000,3.141630,0.000368,1.518618e-02
1,14000000,3.141611,0.000455,2.015671e-01
15,15000000,3.141635,0.000369,2.610537e-02
1,15000000,3.141616,0.000443,2.156405e-01
16,16000000,3.141635,0.000362,4.283748e-02
1,16000000,3.141609,0.000432,2.301256e-01
