N,calculated_pi,error,time
10, 3.13959999999998506937,0.00199265358980804663,5.17e-07
60, 3.13740000000001106883,0.00419265358978204716,1.05e-06
110, 3.14141818181817678024,0.00017447177161633576,1.849e-06
160, 3.13657499999999567208,0.00501765358979744391,2.511e-06
210, 3.13719999999999821227,0.00439265358979490372,3.281e-06
260, 3.13819999999999144080,0.00339265358980167520,3.941e-06
310, 3.14141935483868062207,0.00017329875111249393,5.093e-06
360, 3.14159999999999728360,-0.00000734641020416760,5.061e-06
410, 3.14247804878045489119,-0.00088539519066177519,6.013e-06
460, 3.14193913043479922109,-0.00034647684500610509,6.601e-06
510, 3.14198431372545883278,-0.00039166013566571678,7.423e-06
560, 3.14195000000000090878,-0.00035734641020779279,8.017e-06
610, 3.14167868852459530871,-0.00008603493480219271,8.828e-06
660, 3.14191515151511735482,-0.00032249792532423882,9.32e-06
710, 3.14227042253521116066,-0.00067776894541804467,9.839e-06
760, 3.14287894736841844079,-0.00128629377862532479,1.1024e-05
810, 3.14300740740741124668,-0.00141475381761813068,1.1343e-05
860, 3.14268372093023895530,-0.00109106734044583931,1.2026e-05
910, 3.14266373626373374250,-0.00107108267394062651,1.2662e-05
960, 3.14300833333333518027,-0.00141567974354206427,1.3502e-05
1010, 3.14289504950495857116,-0.00130239591516545516,1.4051e-05
1060, 3.14317735849056445474,-0.00158470490077133874,1.5128e-05
1110, 3.14303063063062548821,-0.00143797704083237221,1.5356e-05
1160, 3.14296551724136596917,-0.00137286365157285317,1.6365e-05
1210, 3.14274049586776360599,-0.00114784227797048999,1.8063e-05
1260, 3.14201904761905126406,-0.00042639402925814807,2.0932e-05
1310, 3.14187480916030503764,-0.00028215557051192164,3.7457e-05
1360, 3.14192941176470474929,-0.00033675817491163329,2.0552e-05
1410, 3.14177588652481842857,-0.00018323293502531257,1.9085e-05
1460, 3.14178904109588419402,-0.00019638750609107802,1.9887e-05
1510, 3.14143841059602690891,0.00015424299376620709,2.0956e-05
1560, 3.14170769230769808544,-0.00011503871790496945,2.0013e-05
1610, 3.14227826086956563145,-0.00068560727977251545,2.2687e-05
1660, 3.14247228915662768500,-0.00087963556683456900,2.2599e-05
1710, 3.14248421052631377037,-0.00089155693652065438,2.6826e-05
1760, 3.14275909090909744137,-0.00116643731930432537,2.4383e-05
1810, 3.14264309392265239751,-0.00105044033285928151,2.3585e-05
1860, 3.14270322580641314758,-0.00111057221662003158,2.5244e-05
1910, 3.14268691099476260575,-0.00109425740496948976,2.5397e-05
1960, 3.14255102040816014508,-0.00095836681836702908,2.4074e-05
2010, 3.14232835820895628487,-0.00073570461916316887,2.379e-05
2060, 3.14253592233009682033,-0.00094326874030370433,2.4997e-05
2110, 3.14252890995260614204,-0.00093625636281302604,2.8202e-05
2160, 3.14252407407407030604,-0.00093142048427719004,2.7956e-05
2210, 3.14260271493212339777,-0.00101006134233028178,3.11e-05
2260, 3.14256637168140073868,-0.00097371809160762268,3.0343e-05
2310, 3.14249870129870023661,-0.00090604770890712061,3.2256e-05
2360, 3.14241016949152252025,-0.00081751590172940425,3.2385e-05
2410, 3.14238008298755522318,-0.00078742939776210719,3.6e-05
2460, 3.14233495934955753270,-0.00074230575976441671,3.3669e-05
2510, 3.14237928286852197246,-0.00078662927872885646,3.3592e-05
2560, 3.14231406249999478675,-0.00072140891020167075,3.362e-05
2610, 3.14243831417624308600,-0.00084566058644997000,3.6604e-05
2660, 3.14236240601503924452,-0.00076975242524612852,3.5718e-05
2710, 3.14183321033210249951,-0.00024055674230938351,3.7063e-05
2760, 3.14182608695652909603,-0.00023343336673598003,3.8317e-05
2810, 3.14211387900355854086,-0.00052122541376542486,3.8308e-05
2860, 3.14180699300699428633,-0.00021433941720117033,3.5769e-05
2910, 3.14196426116838045672,-0.00037160757858734073,3.8649e-05
2960, 3.14198648648648770632,-0.00039383289669459032,4.0189e-05
3010, 3.14187375415283387525,-0.00028110056304075925,4.0305e-05
3060, 3.14194379084968211657,-0.00035113725988900057,5.855e-05
3110, 3.14189196141478843671,-0.00029930782499532071,4.7218e-05
3160, 3.14201898734177209604,-0.00042633375197898005,4.9206e-05
3210, 3.14205233644859216469,-0.00045968285879904869,4.2443e-05
3260, 3.14211288343557582081,-0.00052022984578270481,4.2597e-05
3310, 3.14198912386707318589,-0.00039647027728006989,4.487e-05
3360, 3.14201666666666890038,-0.00042401307687578438,4.5031e-05
3410, 3.14208680351902680528,-0.00049414992923368928,4.1855e-05
3460, 3.14215838150288817587,-0.00056572791309505988,4.6767e-05
3510, 3.14209800569800457026,-0.00050535210821145427,4.4524e-05
3560, 3.14228314606741632176,-0.00069049247762320576,4.7259e-05
3610, 3.14221828254847945772,-0.00062562895868634172,4.9087e-05
3660, 3.14219125683060918064,-0.00059860324081606464,4.7133e-05
3710, 3.14191482479784278681,-0.00032217120804967081,4.9704e-05
3760, 3.14186914893616853206,-0.00027649534637541606,4.7633e-05
3810, 3.14185301837270625214,-0.00026036478291313614,5.0317e-05
3860, 3.14198963730570257624,-0.00039698371590946024,5.0868e-05
3910, 3.14196010230179112455,-0.00036744871199800855,5.0331e-05
3960, 3.14202828282829349504,-0.00043562923850037905,5.2106e-05
4010, 3.14205187032419130944,-0.00045921673439819344,5.1459e-05
4060, 3.14212512315270720009,-0.00053246956291408409,5.0191e-05
4110, 3.14206909975669468338,-0.00047644616690156738,5.4771e-05
4160, 3.14214903846153958966,-0.00055638487174647366,5.6993e-05
4210, 3.14203135391923860098,-0.00043870032944548498,5.704e-05
4260, 3.14197840375587489348,-0.00038575016608177748,5.3161e-05
4310, 3.14205939675173828718,-0.00046674316194517118,5.4764e-05
4360, 3.14204036697247790499,-0.00044771338268478900,5.2824e-05
4410, 3.14202176870749116944,-0.00042911511769805344,5.9228e-05
4460, 3.14201165919282354722,-0.00041900560303043122,6.0065e-05
4510, 3.14204789356981173398,-0.00045523998001861798,6.1453e-05
4560, 3.14198333333333224004,-0.00039067974353912405,5.9906e-05
