N,calculated_pi,error,time
1,3.124000,1.654368,0.000000
2,3.130000,1.165862,0.000000
3,3.133333,0.930986,0.000000
4,3.142000,0.799898,0.000000
5,3.148800,0.731458,0.000000
6,3.150000,0.675782,0.000000
7,3.126857,0.624893,0.000000
8,3.129500,0.588325,0.000000
9,3.131111,0.558575,0.000000
10,3.138400,0.530712,0.000000
11,3.140000,0.505938,0.000000
12,3.140000,0.484610,0.000000
13,3.140615,0.465639,0.000001
14,3.140857,0.446570,0.000001
15,3.140800,0.430378,0.000001
16,3.141250,0.415465,0.000001
17,3.138824,0.407034,0.000001
18,3.138222,0.399713,0.000001
19,3.139579,0.383801,0.000001
20,3.139800,0.373121,0.000001
21,3.139810,0.366974,0.000001
22,3.139091,0.354847,0.000001
23,3.140696,0.349022,0.000001
24,3.141000,0.338965,0.000001
25,3.140800,0.332366,0.000001
26,3.139231,0.325093,0.000001
27,3.139259,0.317817,0.000001
28,3.136429,0.311425,0.000001
29,3.137103,0.305433,0.000001
30,3.137600,0.300337,0.000001
31,3.137161,0.298458,0.000001
32,3.135625,0.293738,0.000001
33,3.135758,0.293008,0.000001
34,3.135529,0.287780,0.000001
35,3.135200,0.283710,0.000001
36,3.135556,0.278810,0.000001
37,3.136108,0.272456,0.000001
38,3.136000,0.267864,0.000001
39,3.136718,0.266022,0.000001
40,3.136700,0.261203,0.000001
41,3.137073,0.255958,0.000001
42,3.138000,0.252261,0.000001
43,3.140279,0.250363,0.000001
44,3.140182,0.246873,0.000001
45,3.139644,0.242529,0.000002
46,3.138870,0.240330,0.000001
47,3.138894,0.237706,0.000001
48,3.139083,0.236208,0.000001
49,3.138531,0.235162,0.000001
50,3.138400,0.234315,0.000001
51,3.138588,0.231129,0.000001
52,3.138462,0.231507,0.000001
53,3.138189,0.228537,0.000001
54,3.138148,0.223453,0.000001
55,3.137382,0.221825,0.000002
56,3.137429,0.220801,0.000001
57,3.137263,0.219138,0.000001
58,3.137517,0.215890,0.000001
59,3.137424,0.213942,0.000001
60,3.137333,0.213567,0.000001
61,3.137246,0.212552,0.000001
62,3.137032,0.210738,0.000001
63,3.137206,0.208858,0.000001
64,3.137250,0.207632,0.000001
65,3.137046,0.205652,0.000001
66,3.138061,0.204415,0.000001
67,3.138149,0.201957,0.000001
68,3.138176,0.199884,0.000001
69,3.138551,0.197877,0.000002
70,3.138571,0.195994,0.000002
71,3.138592,0.195670,0.000002
72,3.138889,0.194161,0.000002
73,3.139397,0.191131,0.000002
74,3.139459,0.190092,0.000002
75,3.139573,0.188718,0.000002
76,3.139684,0.188400,0.000002
77,3.139532,0.188246,0.000002
78,3.139487,0.186354,0.000002
79,3.139848,0.186278,0.000002
80,3.139800,0.185038,0.000002
81,3.139605,0.183805,0.000002
82,3.139561,0.182105,0.000002
83,3.139036,0.180434,0.000002
84,3.139095,0.179894,0.000002
85,3.139435,0.178034,0.000002
86,3.139535,0.177050,0.000002
87,3.139494,0.174987,0.000002
88,3.139818,0.175926,0.000002
89,3.139955,0.174581,0.000002
90,3.139822,0.172890,0.000002
91,3.141670,0.172369,0.000002
92,3.141565,0.171088,0.000002
93,3.141462,0.169582,0.000002
94,3.141660,0.169059,0.000002
95,3.141600,0.168017,0.000002
96,3.142000,0.166216,0.000002
97,3.141732,0.165391,0.000002
98,3.141837,0.164345,0.000002
99,3.141980,0.163096,0.000002
100,3.141960,0.163128,0.000002
101,3.142733,0.162663,0.000002
102,3.142745,0.161516,0.000002
103,3.142680,0.160445,0.000002
104,3.142577,0.159918,0.000002
105,3.142362,0.158882,0.000002
106,3.142151,0.157941,0.000002
107,3.142056,0.157079,0.000002
108,3.141593,0.156863,0.000002
109,3.141541,0.156386,0.000002
110,3.141491,0.154920,0.000002
111,3.141586,0.153916,0.000002
112,3.141750,0.153572,0.000002
113,3.141664,0.153060,0.000002
114,3.141860,0.152517,0.000002
115,3.141565,0.151971,0.000002
116,3.141621,0.151683,0.000002
117,3.141744,0.151431,0.000002
118,3.141763,0.150108,0.000002
119,3.141815,0.150298,0.000002
120,3.141867,0.149839,0.000002
121,3.141851,0.149059,0.000002
122,3.141934,0.148209,0.000002
123,3.141626,0.147461,0.000002
124,3.141645,0.146674,0.000002
125,3.141696,0.145578,0.000002
126,3.141746,0.145727,0.000002
127,3.141732,0.144825,0.000002
128,3.141844,0.144172,0.000002
129,3.141829,0.143506,0.000002
130,3.141938,0.142957,0.000002
131,3.141679,0.142245,0.000003
132,3.141727,0.141411,0.000003
133,3.141564,0.140017,0.000003
134,3.141672,0.138777,0.000002
135,3.141659,0.137955,0.000003
136,3.141529,0.136860,0.000003
137,3.141664,0.135920,0.000003
138,3.141652,0.135568,0.000003
139,3.141813,0.135320,0.000003
140,3.141943,0.134307,0.000003
141,3.141844,0.134084,0.000003
142,3.141775,0.133144,0.000003
143,3.141678,0.132659,0.000003
144,3.141611,0.132044,0.000003
145,3.141683,0.131662,0.000003
146,3.141726,0.131690,0.000003
147,3.141687,0.130952,0.000003
148,3.142000,0.130280,0.000003
149,3.142174,0.130035,0.000003
150,3.142347,0.130128,0.000003
151,3.142702,0.129403,0.000003
152,3.142763,0.128857,0.000003
153,3.136471,0.128752,0.000003
154,3.136468,0.128802,0.000003
155,3.136594,0.128913,0.000003
156,3.136667,0.128737,0.000003
157,3.136611,0.128872,0.000003
158,3.136709,0.128430,0.000003
159,3.136629,0.128534,0.000003
160,3.136750,0.127844,0.000003
161,3.136820,0.127175,0.000003
162,3.136889,0.126656,0.000003
163,3.137055,0.126117,0.000003
164,3.137146,0.125973,0.000003
165,3.137042,0.125780,0.000003
166,3.136916,0.125066,0.000003
167,3.136910,0.124152,0.000003
168,3.137000,0.124250,0.000003
169,3.137136,0.123716,0.000003
170,3.137200,0.123511,0.000003
171,3.137778,0.123621,0.000003
172,3.137814,0.122928,0.000003
173,3.137827,0.122556,0.000003
174,3.137954,0.122671,0.000003
175,3.138080,0.122796,0.000003
176,3.138227,0.122262,0.000003
177,3.138260,0.122064,0.000003
178,3.138157,0.121468,0.000003
179,3.138212,0.121130,0.000003
180,3.138422,0.120843,0.000003
181,3.138343,0.120172,0.000003
182,3.138396,0.119579,0.000003
183,3.138492,0.119158,0.000003
184,3.138457,0.118321,0.000003
185,3.138292,0.117447,0.000003
186,3.138258,0.117377,0.000003
187,3.138353,0.116830,0.000003
188,3.138404,0.116047,0.000003
189,3.138392,0.115677,0.000005
190,3.138042,0.115237,0.000003
191,3.138094,0.114686,0.000003
192,3.138063,0.114201,0.000003
193,3.138093,0.113792,0.000003
194,3.138062,0.113587,0.000003
195,3.138195,0.113338,0.000003
196,3.138224,0.113004,0.000003
197,3.137848,0.112463,0.000004
198,3.137859,0.112217,0.000003
199,3.137869,0.111993,0.000004
200,3.137800,0.111692,0.000004
201,3.137373,0.111669,0.000004
202,3.137327,0.110990,0.000004
203,3.137281,0.110657,0.000003
204,3.137176,0.110406,0.000004
205,3.137171,0.109802,0.000004
206,3.137165,0.109770,0.000004
207,3.137275,0.109766,0.000004
208,3.137231,0.109326,0.000004
209,3.137129,0.109125,0.000004
210,3.137238,0.109025,0.000004
211,3.137251,0.108549,0.000004
212,3.137245,0.108171,0.000004
213,3.137315,0.107676,0.000004
214,3.137271,0.107390,0.000004
215,3.137377,0.106926,0.000004
216,3.137426,0.106742,0.000004
217,3.137382,0.106284,0.000004
218,3.137248,0.105901,0.000004
219,3.137333,0.105425,0.000004
220,3.137400,0.105197,0.000004
221,3.137303,0.104848,0.000004
222,3.137405,0.104415,0.000004
223,3.137399,0.104324,0.000004
224,3.137411,0.104104,0.000004
225,3.137493,0.104080,0.000004
226,3.137540,0.103766,0.000004
227,3.137410,0.103636,0.000004
228,3.137509,0.103387,0.000004
229,3.137520,0.103313,0.000004
230,3.137409,0.102950,0.000004
231,3.137455,0.102589,0.000004
232,3.137431,0.102841,0.000004
233,3.137631,0.102459,0.000004
234,3.137658,0.102030,0.000004
235,3.137719,0.101688,0.000004
236,3.137780,0.101566,0.000004
237,3.137705,0.101308,0.000004
238,3.137697,0.100998,0.000004
239,3.137305,0.100780,0.000004
240,3.137383,0.100283,0.000004
241,3.137494,0.099833,0.000004
242,3.137504,0.099451,0.000004
243,3.137679,0.099178,0.000004
244,3.137754,0.099522,0.000004
245,3.137682,0.099542,0.000004
246,3.137691,0.099621,0.000004
247,3.138089,0.099555,0.000004
248,3.138210,0.099456,0.000004
249,3.138281,0.099376,0.000004
250,3.138288,0.098840,0.000004
251,3.138327,0.098811,0.000004
252,3.138365,0.098878,0.000004
253,3.138324,0.098721,0.000004
254,3.138299,0.098782,0.000004
255,3.138243,0.098230,0.000004
256,3.138266,0.098201,0.000004
257,3.138241,0.097855,0.000005
258,3.138419,0.097860,0.000005
259,3.138456,0.097894,0.000005
260,3.138277,0.097556,0.000005
261,3.138207,0.097217,0.000005
262,3.138260,0.096968,0.000005
263,3.138281,0.096676,0.000005
264,3.138318,0.096601,0.000005
265,3.138355,0.096172,0.000005
266,3.138346,0.095524,0.000005
267,3.138367,0.095538,0.000005
268,3.138463,0.095336,0.000005
269,3.138528,0.095446,0.000005
270,3.138504,0.095348,0.000005
271,3.138480,0.095398,0.000005
272,3.138485,0.095287,0.000005
273,3.138579,0.095113,0.000005
274,3.138642,0.094989,0.000005
275,3.138662,0.095219,0.000005
276,3.138986,0.094965,0.000005
277,3.138903,0.094835,0.000005
278,3.138835,0.094608,0.000005
279,3.138796,0.094491,0.000005
280,3.138771,0.094332,0.000005
281,3.138776,0.093794,0.000005
282,3.138780,0.093297,0.000005
283,3.138813,0.093396,0.000005
284,3.138845,0.093526,0.000005
285,3.138877,0.093616,0.000005
286,3.138853,0.093052,0.000005
287,3.138899,0.092779,0.000005
288,3.138958,0.092489,0.000005
289,3.139045,0.092257,0.000005
290,3.141669,0.091859,0.000005
291,3.141512,0.091769,0.000005
292,3.141452,0.091695,0.000005
293,3.141406,0.091509,0.000005
294,3.141456,0.090982,0.000005
295,3.141451,0.090672,0.000005
296,3.141459,0.091010,0.000005
297,3.141455,0.090750,0.000005
298,3.141356,0.090793,0.000005
299,3.141405,0.090733,0.000005
300,3.141413,0.090836,0.000005
301,3.141475,0.090234,0.000005
302,3.141563,0.090088,0.000005
303,3.141584,0.089952,0.000005
304,3.141618,0.089851,0.000005
305,3.141534,0.089811,0.000005
306,3.141569,0.089751,0.000005
307,3.141459,0.089451,0.000005
308,3.141506,0.089176,0.000005
309,3.141553,0.089390,0.000005
310,3.141471,0.089265,0.000005
311,3.141453,0.089163,0.000005
312,3.141500,0.088974,0.000005
313,3.141419,0.088950,0.000005
314,3.141299,0.088931,0.000005
315,3.141219,0.088771,0.000005
316,3.141215,0.088572,0.000005
317,3.141274,0.088520,0.000005
318,3.141208,0.088326,0.000006
319,3.141166,0.088108,0.000006
320,3.141125,0.088133,0.000005
321,3.141034,0.088000,0.000005
322,3.141031,0.087776,0.000005
323,3.141077,0.087775,0.000005
324,3.141148,0.087500,0.000006
325,3.141231,0.087316,0.000005
326,3.141239,0.087284,0.000005
327,3.141248,0.087393,0.000006
328,3.141256,0.087336,0.000006
329,3.141179,0.087151,0.000006
330,3.141273,0.086927,0.000006
331,3.141245,0.086589,0.000006
