iterations,nbytes,mean,stdev,min,max,total_time
10000,1,0.000006,0.000004,0.000003,0.000280,0.057993
10000,4,0.000006,0.000001,0.000004,0.000028,0.056906
10000,16,0.000006,0.000001,0.000004,0.000059,0.056862
10000,64,0.000006,0.000003,0.000004,0.000206,0.060919
10000,256,0.000007,0.000020,0.000005,0.001465,0.068193
10000,1024,0.000008,0.000004,0.000005,0.000202,0.078094
10000,4096,0.000024,0.000007,0.000009,0.000072,0.243479
10000,16384,0.000091,0.000032,0.000022,0.000541,0.905729
10000,65536,0.000389,0.000115,0.000112,0.001821,3.890822
10000,262144,0.001823,0.000765,0.000355,0.006554,18.230393
10000,1048576,0.007354,0.002935,0.001371,0.012103,73.542754
10000,4194304,0.028746,0.009889,0.003613,0.045932,287.456405
10000,16777216,0.111483,0.017427,0.034350,0.178335,1114.833862
10000,67108864,0.445618,0.045664,0.179699,0.666878,4456.181966
