iterations,nbytes,mean,stdev,min,max,total_time
10000,1,0.000002,0.000003,0.000002,0.000229,0.020829
10000,4,0.000002,0.000001,0.000002,0.000026,0.019434
10000,16,0.000002,0.000001,0.000002,0.000025,0.019482
10000,64,0.000002,0.000001,0.000002,0.000027,0.019742
10000,256,0.000003,0.000001,0.000002,0.000098,0.025754
10000,1024,0.000004,0.000001,0.000003,0.000013,0.039065
10000,4096,0.000011,0.000001,0.000006,0.000038,0.106901
10000,16384,0.000051,0.000006,0.000025,0.000074,0.508229
10000,65536,0.000199,0.000018,0.000112,0.001519,1.992688
10000,262144,0.000676,0.000212,0.000307,0.004432,6.764806
10000,1048576,0.002663,0.000697,0.001192,0.018581,26.632104
10000,4194304,0.011657,0.003268,0.004867,0.039110,116.569971
10000,16777216,0.025842,0.006200,0.013202,0.068105,258.421934
10000,67108864,0.096182,0.024657,0.032415,0.172681,961.817535
