iterations,nbytes,mean,stdev,min,max,total_time
10000,1,0.000006,0.000012,0.000003,0.001101,0.059962
10000,4,0.000006,0.000001,0.000003,0.000022,0.058569
10000,16,0.000006,0.000001,0.000004,0.000023,0.058645
10000,64,0.000006,0.000003,0.000003,0.000208,0.061802
10000,256,0.000006,0.000022,0.000004,0.001681,0.062919
10000,1024,0.000008,0.000004,0.000004,0.000204,0.083488
10000,4096,0.000028,0.000008,0.000012,0.000104,0.284868
10000,16384,0.000106,0.000048,0.000033,0.003279,1.060078
10000,65536,0.000417,0.000117,0.000122,0.002420,4.169995
10000,262144,0.001855,0.000740,0.000424,0.006617,18.554762
10000,1048576,0.007473,0.002899,0.001260,0.019217,74.732612
10000,4194304,0.030848,0.011774,0.004332,0.048214,308.483779
10000,16777216,0.112806,0.027754,0.027914,0.180125,1128.063729
10000,67108864,0.449316,0.139688,0.101494,1.681363,4493.164142
