iterations,nbytes,mean,stdev,min,max,total_time
10000,1,0.000001,0.000002,0.000001,0.000141,0.011611
10000,4,0.000001,0.000001,0.000001,0.000097,0.011456
10000,16,0.000001,0.000000,0.000001,0.000012,0.011295
10000,64,0.000001,0.000000,0.000001,0.000017,0.011587
10000,256,0.000002,0.000001,0.000001,0.000084,0.015504
10000,1024,0.000002,0.000001,0.000002,0.000020,0.023023
10000,4096,0.000004,0.000001,0.000003,0.000022,0.035109
10000,16384,0.000008,0.000002,0.000007,0.000032,0.084262
10000,65536,0.000027,0.000004,0.000023,0.000059,0.273868
10000,262144,0.000065,0.000010,0.000060,0.000492,0.652336
10000,1048576,0.000203,0.000050,0.000187,0.003531,2.028017
10000,4194304,0.000788,0.000043,0.000740,0.002295,7.880165
10000,16777216,0.003280,0.000140,0.003072,0.011292,32.801396
10000,67108864,0.012825,0.000467,0.011939,0.033683,128.252234
