iterations,nbytes,mean,stdev,min,max,total_time
10000,1,0.000005,0.000134,0.000003,0.013385,0.048382
10000,4,0.000003,0.000002,0.000003,0.000041,0.034982
10000,16,0.000004,0.000003,0.000003,0.000196,0.035486
10000,64,0.000004,0.000002,0.000003,0.000023,0.040175
10000,256,0.000005,0.000014,0.000004,0.001348,0.052991
10000,1024,0.000006,0.000002,0.000004,0.000035,0.057951
10000,4096,0.000009,0.000005,0.000006,0.000203,0.089634
10000,16384,0.000015,0.000007,0.000010,0.000219,0.148342
10000,65536,0.000031,0.000010,0.000021,0.000230,0.314702
10000,262144,0.000053,0.000024,0.000034,0.000533,0.529828
10000,1048576,0.000162,0.000089,0.000101,0.007793,1.621043
10000,4194304,0.000600,0.000177,0.000362,0.002183,6.001125
10000,16777216,0.002818,0.000222,0.001653,0.010622,28.181222
10000,67108864,0.011904,0.000491,0.006521,0.026960,119.037226
