iterations,size,mean_time,score
10000,1,3.318720e-08,1.000000 
10000,2,4.251964e-06,1.000000 
10000,3,1.239818e-06,1.000000 
10000,4,2.818478e-06,1.000000 
10000,5,3.498765e-06,1.000000 
10000,6,4.384571e-06,1.000000 
10000,7,4.726823e-06,1.000000 
10000,8,5.614687e-06,1.000000 
10000,9,6.503677e-06,1.000000 
10000,10,7.552621e-06,1.000000 
10000,11,8.068518e-06,1.000000 
10000,12,1.124183e-05,1.000000 
10000,13,1.469883e-05,1.000000 
10000,14,1.056781e-05,1.000000 
10000,15,1.132687e-05,1.000000 
10000,16,1.259296e-05,1.000000 
10000,17,1.316955e-05,1.000000 
10000,18,3.119292e-05,1.000000 
10000,19,3.658716e-05,1.000000 
10000,20,1.575154e-05,1.000000 
10000,21,1.610105e-05,1.000000 
10000,22,5.212704e-05,1.000000 
10000,23,2.331020e-05,1.000000 
10000,24,1.851512e-05,1.000000 
10000,25,3.001950e-05,1.000000 
10000,26,2.045952e-05,1.000000 
10000,27,3.252254e-05,1.000000 
10000,28,2.217417e-05,1.000000 
10000,29,3.539073e-05,1.000000 
10000,30,2.295037e-05,1.000000 
10000,31,7.311900e-05,1.000000 
10000,32,2.575683e-05,1.000000 
10000,33,2.868544e-05,1.000000 
10000,34,5.629330e-05,1.000000 
10000,35,4.172982e-05,1.000000 
10000,36,4.385366e-05,1.000000 
10000,37,3.092775e-05,1.000000 
10000,38,2.925294e-05,1.000000 
10000,39,4.852724e-05,1.000000 
10000,40,4.705616e-05,1.000000 
10000,41,4.428641e-05,1.000000 
10000,42,3.420409e-05,1.000000 
10000,43,3.410432e-05,1.000000 
10000,44,3.553332e-05,1.000000 
10000,45,4.734493e-05,1.000000 
10000,46,5.322199e-05,1.000000 
10000,47,5.128628e-05,1.000000 
10000,48,4.577829e-05,1.000000 
10000,49,6.032936e-05,1.000000 
10000,50,6.494585e-05,1.000000 
10000,51,4.125404e-05,1.000000 
10000,52,4.723914e-05,1.000000 
10000,53,5.255145e-05,1.000000 
10000,54,5.459395e-05,1.000000 
10000,55,4.849759e-05,1.000000 
10000,56,5.106243e-05,1.000000 
10000,57,1.040486e-04,1.000000 
10000,58,5.750808e-05,1.000000 
10000,59,4.965010e-05,1.000000 
10000,60,4.796129e-05,1.000000 
10000,61,5.468786e-05,1.000000 
10000,62,6.932467e-05,1.000000 
10000,63,6.062044e-05,1.000000 
10000,64,7.777265e-05,1.000000 
