threads,N,time,iter
1,1048576,0.9220421230420470,221
2,1048576,0.3994856178760529,221
3,1048576,0.2890928220003843,221
4,1048576,0.2201841594651341,221
5,1048576,0.1798656908795238,221
6,1048576,0.1514520999044180,221
7,1048576,0.1319248164072633,221
8,1048576,0.1588502945378423,221
9,1048576,0.1054938966408372,221
10,1048576,0.0963859921321273,221
11,1048576,0.0869887899607420,221
12,1048576,0.0810215501114726,221
13,1048576,0.0816163001582026,221
14,1048576,0.0760864336043596,221
15,1048576,0.0710252402350307,221
16,1048576,0.0681570358574390,221
17,1048576,0.0637817457318306,221
18,1048576,0.0594304986298084,221
19,1048576,0.0564554054290056,221
20,1048576,0.0535589195787907,221
21,1048576,0.0513735124841332,221
22,1048576,0.0508402362465858,221
23,1048576,0.0495225349441171,221
24,1048576,0.0477214725688100,221
25,1048576,0.0451594963669777,221
26,1048576,0.0444550802931190,221
27,1048576,0.0472873235121369,221
28,1048576,0.0443688370287418,221
29,1048576,0.0402375347912312,221
30,1048576,0.0394833255559206,221
31,1048576,0.0383950741961598,221
32,1048576,0.0377294113859534,221
