threads,N,time,iter
1,1024,0.3921266058459878,246611
2,1024,0.5294570066034794,246611
3,1024,0.5327237192541361,246611
4,1024,1.1235142014920712,246611
5,1024,1.2332712393254042,246611
6,1024,1.3119561197236180,246611
7,1024,1.3966769669204950,246611
8,1024,1.5439410144463181,246611
9,1024,1.7307269498705864,246611
10,1024,1.7341215824708343,246611
11,1024,1.8417317895218730,246611
12,1024,1.9579692473635077,246611
13,1024,2.0139789227396250,246611
14,1024,2.0545540498569608,246611
15,1024,2.1465023076161742,246611
16,1024,2.2903953548520803,246611
17,1024,2.3895558556541800,246611
18,1024,2.3857977986335754,246611
19,1024,2.3249982995912433,246611
20,1024,3.4623953439295292,246611
21,1024,6.1414426229894161,246611
22,1024,7.6583197228610516,246611
23,1024,7.2240120116621256,246611
24,1024,9.0552526535466313,246611
25,1024,8.6121825743466616,246611
26,1024,7.1049606241285801,246611
27,1024,8.5244768066331744,246611
28,1024,10.4121729908511043,246611
29,1024,10.6060376912355423,246611
30,1024,10.9999394547194242,246611
31,1024,11.6047952901571989,246611
32,1024,11.5701402118429542,246611
